,id,text,game,cleaned,english,len,sw_removed,stemmed
79,1.36506614463845e+18,"Based upon this trailer, I have a gut feeling #Deathloop will be shooter of the year. Visually, the game is extraordinary and unique, but the gameplay looks excellent and the story looks intriguing.  #StateofPlay",DeathLoop,based upon this trailer i have a gut feeling deathloop will be shooter of the year visually the game is extraordinary and unique but the gameplay looks excellent and the story looks intriguing stateofplay,based upon this trailer i have a gut feeling will be shooter of the year visually the game is extraordinary and unique but the excellent and the story intriguing,29,based upon trailer gut feeling shooter year visually extraordinary unique excellent story intriguing,base upon trailer gut feel shooter year visual extraordinari uniqu excel stori intrigu
81,1.36506604484758e+18,Deathloop is giving me major Bioshock/James Bond vibes and Iâ€™m all for it  #StateofPlay,DeathLoop,deathloop is giving me major bioshock james bond vibes and i m all for it stateofplay,is giving me major bond and i m all for it,11,giving major bond,give major bond
84,1.36506530904088e+18,I just canâ€™t get excited for deathloop. I try so hard D:,DeathLoop,i just can t get excited for deathloop i try so hard d,i just can t get excited for i try so hard d,12,get excited try hard,get excit tri hard
88,1.34837369038431e+18,"Most Anticipated Games of 2021:
Halo Infinite.
Back 4 Blood.
12 Minutes.
Resident Evil VIII: Village.
Gotham Knights.
It Takes Two.
Deathloop.
Cyberpunk 2077 (Xbox Series X).
The Medium.
Far Cry 6.
Prince of Persia: The Sands of Time Remake.
CrossfireX.
Ghostwire: Tokyo. #games",DeathLoop,most anticipated games of halo infinite back blood minutes resident evil viii village gotham knights it takes two deathloop cyberpunk xbox series x the medium far cry prince of persia the sands of time remake crossfirex ghostwire tokyo games,most of halo infinite back blood resident evil village it two series x the medium far cry prince of the of time remake,23,halo infinite back blood resident evil village two series medium far cry prince time remake,halo infinit back blood resid evil villag two seri medium far cri princ time remak
89,1.34607461320223e+18,1.4.21 Morning Dadcast is live! https://t.co/ylJvfW944F This week the dads discuss #cobrakai as well as their most anticipated releases of 2021 including @playdate #playdate @analogue #analoguepocket #BreathoftheWild2 #RatchetAndClank #metroid4 #deathloop #astrocitymini and more! https://t.co/pXQnN4cZdy,DeathLoop,morning dadcast is live https t co yljvfw f this week the dads discuss cobrakai as well as their most anticipated releases of including playdate playdate analogue analoguepocket breathofthewild ratchetandclank metroid deathloop astrocitymini and more https t co pxqnn czdy,morning is live t f this week the discuss as well as their most of analogue and more t,19,morning live week discuss well analogue,morn live week discuss well analogu
90,1.34547067935795e+18,"@Arsonall Im excited for Dying Light 2, Halo Infinite, Deathloop, Resident Evil Village and Returnal",DeathLoop,arsonall im excited for dying light halo infinite deathloop resident evil village and returnal,excited for dying light halo infinite resident evil village and,10,excited dying light halo infinite resident evil village,excit die light halo infinit resid evil villag
91,1.34520431598468e+18,@Charalanahzard @vicious696 I love everything Arkane does (Dishonored 2 is an amazing game) but won't touch Deathloop until it's on Series X,DeathLoop,charalanahzard vicious i love everything arkane does dishonored is an amazing game but won t touch deathloop until it s on series x,vicious i love everything does is an amazing game but won t touch until it s on series x,19,vicious love everything amazing touch series,viciou love everyth amaz touch seri
92,1.45455090700629e+18,"My Top 5 #GOTY so far:

GOTG
Returnal
Curse of the Dead Gods
Metroid: Dread
Deathloop https://t.co/IIEnDRKy7O",DeathLoop,my top goty so far gotg returnal curse of the dead gods metroid dread deathloop https t co iiendrky o,my top so far curse of the dead dread t o,11,top far curse dead dread,top far curs dead dread
93,1.45449908103271e+18,"Wow, just wow. @deathloop was an absolute masterpiece. From voice acting to art design to sheer inventiveness, such an enjoyable experience. Also loved the original music so much. So self aware, so bad ass, so hooky and just plan fun. Most inspired I've left a game in a while.",DeathLoop,wow just wow deathloop was an absolute masterpiece from voice acting to art design to sheer inventiveness such an enjoyable experience also loved the original music so much so self aware so bad ass so hooky and just plan fun most inspired i ve left a game in a while,wow just wow was an absolute masterpiece from voice acting to art design to sheer inventiveness such an enjoyable experience also the original music so much so self aware so bad ass so hooky and just plan fun most inspired i left a game in a while,47,wow wow absolute masterpiece voice acting art design sheer inventiveness enjoyable experience also original music much self aware bad ass hooky plan fun inspired left,wow wow absolut masterpiec voic act art design sheer invent enjoy experi also origin music much self awar bad ass hooki plan fun inspir left
95,1.45412579785003e+18,@TheRicoSuave_ @BestBuy Looking forward to them faster load times and PS5 exclusives. Probably gonna smash some Deathloop,DeathLoop,thericosuave bestbuy looking forward to them faster load times and ps exclusives probably gonna smash some deathloop,looking forward to them faster load times and probably smash some,11,looking forward faster load times probably smash,look forward faster load time probabl smash
96,1.45398739850596e+18,@private11941712 @geoffkeighley Deathloop is so wack bruh why do yall think this dishonored copy is any good? Damn gamers are dumb now a days,DeathLoop,private geoffkeighley deathloop is so wack bruh why do yall think this dishonored copy is any good damn gamers are dumb now a days,private is so wack why do think this copy is any good damn are dumb now a days,18,private wack think copy good damn dumb days,privat wack think copi good damn dumb day
97,1.45395430908372e+18,More people need to play donâ€™t be afraid #DEATHLOOP,DeathLoop,more people need to play don t be afraid deathloop,more people need to play don t be afraid,9,people need afraid,peopl need afraid
98,1.4539078042727e+18,Iâ€™m only one trophy away from getting the Platinum Trophy on @deathloop LETS GO!!!! #DEATHLOOP https://t.co/4AcBHU8A2q,DeathLoop,i m only one trophy away from getting the platinum trophy on deathloop lets go deathloop https t co acbhu a q,i m only one trophy away from getting the platinum trophy on go t a q,16,one trophy away getting platinum trophy go,one trophi away get platinum trophi go
100,1.45346879969343e+18,They showed this Five Nights At Freddyâ€™s game as much as Deathloop #StateofPlay,DeathLoop,they showed this five nights at freddy s game as much as deathloop stateofplay,they this five nights at s game as much as,10,five nights much,five night much
102,1.45344128522276e+18,If I donâ€™t hear â€œOde to Somewhereâ€ (City Lights) by @ErichTalaba from the @deathloop soundtrack on the @thegameawards this year I am gonna be very disappointed. That songs was meant to be heard live. #Deathloop,DeathLoop,if i don t hear ode to somewhere city lights by erichtalaba from the deathloop soundtrack on the thegameawards this year i am gonna be very disappointed that songs was meant to be heard live deathloop,if i don t hear ode to somewhere city by from the on the this year i am be very disappointed that was meant to be live,27,hear ode somewhere city year disappointed meant live,hear ode somewher citi year disappoint meant live
103,1.45335747291638e+18,Come see me absolutely bully @cbennettsmith in about 15 minutes! https://t.co/ra5XK74qEk,DeathLoop,come see me absolutely bully cbennettsmith in about minutes https t co ra xk qek,come see me absolutely bully in about t ra,9,come see absolutely bully ra,come see absolut bulli ra
104,1.45331844946834e+18,"GameSpot: The 10/10 Deathloop Will Be On Sale For A Ridiculous Price Starting Tomorrow.
https://t.co/sXb1WSsVrc",DeathLoop,gamespot the deathloop will be on sale for a ridiculous price starting tomorrow https t co sxb wssvrc,the will be on sale for a ridiculous price starting tomorrow t,12,sale ridiculous price starting tomorrow,sale ridicul price start tomorrow
105,1.45319577827341e+18,"Yep. Havenâ€™t beaten a game that tops this one for me this year yet and there isnâ€™t a whole lot of year left. 

I have not touched Deathloop and have only dabbled with Metroid though. 

Itâ€™s awkward for me to say now that I work here. https://t.co/smeEpzKnJP",DeathLoop,yep haven t beaten a game that tops this one for me this year yet and there isn t a whole lot of year left i have not touched deathloop and have only dabbled with metroid though it s awkward for me to say now that i work here https t co smeepzknjp,yep haven t beaten a game that tops this one for me this year yet and there t a whole lot of year left i have not touched and have only with though it s awkward for me to say now that i work here t,46,yep beaten tops one year yet whole lot year left touched though awkward say work,yep beaten top one year yet whole lot year left touch though awkward say work
106,1.4527907406401e+18,"I beat #DeathLoop last night. Itâ€™s a really good game! Started off a bit overwhelming/disorienting and has a long tutorial, but once it takes off, itâ€™s a wild ride! Has a nice balance of action, stealth, and puzzles. The world is interesting and full of over the top characters.",DeathLoop,i beat deathloop last night it s a really good game started off a bit overwhelming disorienting and has a long tutorial but once it takes off it s a wild ride has a nice balance of action stealth and puzzles the world is interesting and full of over the top characters,i beat last night it s a really good game off a bit overwhelming and a long tutorial but once it off it s a wild ride a nice balance of action stealth and the world is interesting and full of over the top,44,beat last night really good bit overwhelming long tutorial wild ride nice balance action stealth world interesting full top,beat last night realli good bit overwhelm long tutori wild ride nice balanc action stealth world interest full top
